objectid,cod_favela,nome,situacao,cod_comple,complexo,data_cadas,cod_bairro,bairro,cod_ra,ra,cod_rp,rp,cod_ap,pop_sabren,dom_sabren,fonte,upp,sabrengisadminLim_Favelas_2019area,Shape__Area,Shape__Length
15,913,Avenida Menezes Cortes (com Estrada dos Três Rios),2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,50,17,IPP com base em IBGE - Censo Demográfico 2010,N,5472.72534096,5472.72338520623,609.639122223696
16,912,"Avenida Menezes Cortes, nº 12",2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,0,0, ,N,5601.07485164,5601.07485165023,490.872103592967
17,911,Antiga Company,1,2083,Jacarezinho,2009/01/15 03:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,24,7,IPP com base em IBGE - Censo Demográfico 2010,Jacarezinho,1459.53095921,1459.5309592523,161.80144878129
18,910,"Engenheiro Alberto Moas, próxima ao nº 75",1,2083,Jacarezinho,2009/01/15 03:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,72,22,IPP com base em IBGE - Censo Demográfico 2010,Jacarezinho,612.14087887,612.140878884301,109.625814239327
19,908,Regata,2,0,Isolada,2009/01/15 03:00:00+00,127,Itanhangá,24,Barra da Tijuca,4.2,Barra da Tijuca,4,662,253,IBGE - Censo Demográfico 2010,N,27256.0900533,27256.0924518987,1176.94311595628
20,907,"Estrada de Jacarepaguá, nº 2.679",2,0,Isolada,2009/01/15 03:00:00+00,127,Itanhangá,24,Barra da Tijuca,4.2,Barra da Tijuca,4,36,13,IPP com base em IBGE - Censo Demográfico 2010,N,4590.67276318,4590.67276318333,270.858834825677
21,906,Nossa Senhora da Apresentação,2,0,Isolada,2009/01/15 03:00:00+00,76,Irajá,14,Irajá,3.3,Madureira,3,462,142,IBGE - Censo Demográfico 2010,N,14791.0948141,14791.0948140694,900.464965669527
22,905,Estrada Pedro Borges de Freitas (próxima ao nº 323),2,0,Isolada,2009/01/15 03:00:00+00,76,Irajá,14,Irajá,3.3,Madureira,3,155,52,IBGE - Censo Demográfico 2010,N,7433.45573121,7433.45787295562,1172.05631014387
23,904,Estrada de Inhoaíba (próxima Lt 02 - Qd 32),2,0,Isolada,2009/01/15 03:00:00+00,146,Inhoaíba,18,Campo Grande,5.2,Campo Grande,5,276,76,IBGE - Censo Demográfico 2010,N,10136.3060382,10136.3060381331,412.38258265819
24,903,Parque Everest (Rua Arquibui),1,2036,Parque Everest,2009/01/15 03:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,1267,314,IBGE - Censo Demográfico 2010,N,2873.6584245,2873.65766974253,446.193465693821
25,902,Casarão,2,0,Isolada,2009/01/15 03:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,83,25,IPP com base em IBGE - Censo Demográfico 2010,N,1487.84359775,1487.84359779586,158.118799268372
26,901,Linha Amarela (acesso à Av. Automóvel Clube),1,2039,Rua Lagoa Redonda,2009/01/15 03:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,101,31,IPP com base em IBGE - Censo Demográfico 2010,N,2453.03046783,2453.03165243806,238.917005282029
27,900,"Rua Dona Emilia, nº 5",2,0,Isolada,2009/01/15 03:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,181,62,IPP com base em IBGE - Censo Demográfico 2010,N,3997.74471359,3997.74471359711,408.431736572954
28,899,Granja Avícola Pastoril,2,0,Isolada,2009/01/15 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,131,41,IPP com base em IBGE - Censo Demográfico 2010,N,12553.9718477,12553.9718477095,846.340546308312
29,898,Bairro ABC,2,0,Isolada,2009/01/15 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,165,47,IPP com base em IBGE - Censo Demográfico 2010,N,4879.91504119,4879.91504113673,413.643852544148
30,897,Travessa dos Vieiras,2,0,Isolada,2009/01/15 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,69,22,IPP com base em IBGE - Censo Demográfico 2010,N,4256.96383002,4256.96383003185,293.645030798314
31,896,"Estrada do Mato Alto, nº 5.078",2,0,Isolada,2009/01/15 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,118,37,IPP com base em IBGE - Censo Demográfico 2010,N,9316.48219821,9316.48219811888,433.258346454138
32,894,Estrada da Cachamorra,1,2144,Largo do Corrêa 1,2009/01/15 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,784,238,IBGE - Censo Demográfico 2010,N,82981.1533696,82981.1533696278,1742.01586793256
33,893,"Estrada do Magarça, nº 2.823",1,2143,Estrada do Magarça,2009/01/15 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,2070,664,IBGE - Censo Demográfico 2010,N,137744.708596,137744.709521137,2286.86488176348
34,892,Avenida Silvério,1,2143,Estrada do Magarça,2009/01/15 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,396,114,IBGE - Censo Demográfico 2010,N,21007.8393827,21007.8393825853,852.688447573438
35,891,Avenida Silvério (Rua Palhano),1,2143,Estrada do Magarça,2009/01/15 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,216,70,IBGE - Censo Demográfico 2010,N,13939.6569746,13939.6569747542,564.531191593696
36,1108,Cajueiro,2,0,Isolada,2014/07/01 03:00:00+00,150,Sepetiba,19,Santa Cruz,5.3,Santa Cruz,5,374,115,IPP com base em IBGE - Censo Demográfico 2010,N,138412.862797,138412.860224436,4976.06026236744
37,1107,Travessa Claudio Franco,2,0,Isolada,2013/08/09 03:00:00+00,150,Sepetiba,19,Santa Cruz,5.3,Santa Cruz,5,26,8,IPP,N,1631.75430983,1631.75430979588,235.588100031989
38,1105,B-1,2,0,Isolada,2011/02/08 03:00:00+00,53,Del Castilho,12,Inhaúma,3.4,Inhaúma,3,88,25,IPP com base em IBGE - Censo Demográfico 2010,N,3167.21882521,3167.2188253133,553.069253057455
39,1104,Higienópolis,2,0,Isolada,2011/02/08 03:00:00+00,149,Santa Cruz,19,Santa Cruz,5.3,Santa Cruz,5,1333,423,IBGE - Censo Demográfico 2010,N,86789.1494851,86789.1478114435,6258.21247607049
40,1103,Rua Vale do Paraíso,2,0,Isolada,2011/02/08 03:00:00+00,123,Tanque,16,Jacarepaguá,4.1,Jacarepaguá,4,116,37,IPP com base em IBGE - Censo Demográfico 2010,N,4684.36909668,4684.36909663706,403.209255977624
41,1102,Gouveia,2,0,Isolada,2011/02/08 03:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,74,24,IPP com base em IBGE - Censo Demográfico 2010,N,2591.90885334,2591.9088532003,287.212416004027
42,1101,"Estrada do Boiúna, nº 1546",2,0,Isolada,2011/02/08 03:00:00+00,122,Taquara,16,Jacarepaguá,4.1,Jacarepaguá,4,64,21,IPP com base em IBGE - Censo Demográfico 2010,N,13373.6252768,13373.6249413543,1057.60588800745
43,1100,"Rua Pereiro, nº 471",2,0,Isolada,2011/02/08 03:00:00+00,137,Jardim Sulacap,33,Realengo,5.1,Bangu,5,64,21,IPP com base em IBGE - Censo Demográfico 2010,N,7913.74576027,7913.74496884521,671.740538438112
44,1099,"Rua Camatia, nº 241",2,0,Isolada,2011/02/08 03:00:00+00,121,Pechincha,16,Jacarepaguá,4.1,Jacarepaguá,4,127,39,IPP com base em IBGE - Censo Demográfico 2010,N,5026.21172494,5026.21172490121,317.27770298225
45,1098,"Rua Albano, nº 252",1,2095,Fazenda Mato Alto,2011/02/08 03:00:00+00,124,Praça Seca,16,Jacarepaguá,4.1,Jacarepaguá,4,297,100,IPP com base em IBGE - Censo Demográfico 2010,N,3487.02137957,3487.02137955757,268.949355012769
46,1096,"Rua Silva Teles, nº 110",2,0,Isolada,2011/02/08 03:00:00+00,37,Andaraí,9,Vila Isabel,2.2,Tijuca,2,378,119,IPP com base em IBGE - Censo Demográfico 2010,N,3254.04177253,3254.04177253983,290.623950992296
47,1095,"Rua Coqueiros, nº 10",2,0,Isolada,2011/02/08 03:00:00+00,14,Santa Teresa,23,Santa Teresa,1.1,Centro,1,119,41,IPP com base em IBGE - Censo Demográfico 2010,N,1952.6646563,1952.6646563838,200.826237231526
48,1094,Rua José Eugênio,2,0,Isolada,2011/02/08 03:00:00+00,10,Imperial de São Cristóvão,7,São Cristóvão,1.1,Centro,1,128,53,IPP com base em IBGE - Censo Demográfico 2010,N,2070.36320416,2070.36320421746,203.729222944441
49,1093,Portelinha,1,2147,Marlene,2011/02/08 03:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,112,39,IPP com base em IBGE - Censo Demográfico 2010,Jacarezinho,2078.10556671,2078.10556673501,198.175740039888
50,1092,Vila União (RA - Méier),2,0,Isolada,2011/02/08 03:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,195,57,IPP com base em IBGE - Censo Demográfico 2010,N,5092.92066857,5092.92066851325,339.751739710141
51,1090,Grefisa,1,2145,Parque Proletário Águia de Ouro,2011/02/08 03:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,246,107,IPP com base em IBGE - Censo Demográfico 2010,N,23468.1358939,23468.1362595712,851.198353359204
52,1089,Estrada Velha da Pavuna - Linha Amarela,2,0,Isolada,2011/02/08 03:00:00+00,50,Higienópolis,12,Inhaúma,3.4,Inhaúma,3,124,44,IPP com base em IBGE - Censo Demográfico 2010,N,2262.69892787,2262.69892788143,272.511363836145
53,1088,Rua Armando Godói,2,0,Isolada,2011/02/08 03:00:00+00,50,Higienópolis,12,Inhaúma,3.4,Inhaúma,3,134,44,IPP com base em IBGE - Censo Demográfico 2010,N,2216.60206278,2216.60206279245,268.266111074089
54,1087,Estrada Velha da Pavuna - Rua Sérgio Silva,1,2037,Parque Nova Maracá,2011/02/08 03:00:00+00,55,Engenho da Rainha,12,Inhaúma,3.4,Inhaúma,3,98,32,IPP com base em IBGE - Censo Demográfico 2010,N,1154.9799342,1154.97993415328,140.534098423566
55,1086,Avenida dos Campeões - Praça Elói de Andrade,2,0,Isolada,2011/02/08 03:00:00+00,41,Ramos,10,Ramos,3.1,Ramos,3,154,47,IPP com base em IBGE - Censo Demográfico 2010,N,840.55825927,840.558259240644,128.482031512334
56,1085,Castelo de Lucas,2,0,Isolada,2011/02/08 03:00:00+00,47,Parada de Lucas,31,Vigário Geral,3.5,Penha,3,62,21,IPP com base em IBGE - Censo Demográfico 2010,N,1392.19467222,1392.19467217594,160.507938062063
57,1084,"Rua Venâncio Ribeiro, nº 475",2,0,Isolada,2011/02/08 03:00:00+00,66,Engenho de Dentro,13,Méier,3.2,Méier,3,176,61,IPP com base em IBGE - Censo Demográfico 2010,N,2123.57542412,2123.5754241322,202.112465547356
58,1083,Rua José Braga,1,2095,Fazenda Mato Alto,2011/02/08 03:00:00+00,123,Tanque,16,Jacarepaguá,4.1,Jacarepaguá,4,58,18,IPP com base em IBGE - Censo Demográfico 2010,N,2466.6498913,2466.64989128996,224.153646404948
59,1081,Comunidade do Ecoponto,1,2126,Jardim Nossa Senhora das Graças,2009/05/14 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,112,32,IPP com base em IBGE - Censo Demográfico 2010,N,3773.23348499,3773.23348493391,249.606712514834
60,1078,Avenida do Corretor,2,0,Isolada,2009/05/14 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,474,149,IPP com base em IBGE - Censo Demográfico 2010,N,10625.0256994,10625.0256995484,1045.27454018755
61,1077,Avenida Canal II,2,0,Isolada,2009/05/14 03:00:00+00,157,Maré,30,Complexo da Maré,3.1,Ramos,3,12,5,IPP com base em IBGE - Censo Demográfico 2010,Maré,1836.73650699,1836.73650702821,520.573116311529
62,1076,Avenida Canal,2,0,Isolada,2009/05/14 03:00:00+00,157,Maré,30,Complexo da Maré,3.1,Ramos,3,319,105,IBGE - Censo Demográfico 2010,Maré,33700.3148704,33700.3144806995,2779.38639760132
63,1075,Comunidade Vila do Pinheiro,2,0,Isolada,2009/05/14 03:00:00+00,157,Maré,30,Complexo da Maré,3.1,Ramos,3,388,108,IBGE - Censo Demográfico 2010,Maré,49494.3986854,49494.393968593,1981.4145451772
64,1074,"Rua São Paulo, nº 114",2,0,Isolada,2009/05/14 03:00:00+00,60,Sampaio,13,Méier,3.2,Méier,3,28,8,IPP com base em IBGE - Censo Demográfico 2010,São João,1901.49826641,1901.50155375789,353.235587872143
65,1073,"Rua Valentim da Fonseca, nº 57",2,0,Isolada,2009/05/14 03:00:00+00,60,Sampaio,13,Méier,3.2,Méier,3,41,13,IPP com base em IBGE - Censo Demográfico 2010,São João,6026.81676565,6026.81628475006,477.975882117566
66,1072,Vila Casarão,2,0,Isolada,2009/05/14 03:00:00+00,57,São Francisco Xavier,13,Méier,3.2,Méier,3,263,93,IPP com base em IBGE - Censo Demográfico 2010,N,2446.97157393,2446.97157395302,229.070682639246
67,1071,Pousada dos Cavalheiros,2,0,Isolada,2009/05/14 03:00:00+00,143,Santíssimo,18,Campo Grande,5.2,Campo Grande,5,67,18,IPP com base em IBGE - Censo Demográfico 2010,N,5715.09021683,5715.0902169378,333.146508380054
68,1070,Recanto dos Pássaros,2,0,Isolada,2009/05/15 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,13,4,IBGE - Censo Demográfico 2010,N,4791.97248106,4791.97179159064,397.499684639878
69,1069,Vila Santa Teresa,1,2071,Parque Criança Esperança,2009/05/13 03:00:00+00,106,Guadalupe,22,Anchieta,3.6,Pavuna,3,159,53,IPP com base em IBGE - Censo Demográfico 2010,N,2523.86707245,2523.86707246283,273.110969201115
70,1067,Drª. Maria Estrela,2,0,Isolada,2009/05/13 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,124,38,IPP com base em IBGE - Censo Demográfico 2010,N,4655.56531954,4655.56517116139,403.46595572754
71,1066,Vila Esperança (RA - Realengo),1,2113,Vila do Vintém,2009/05/13 03:00:00+00,139,Realengo,33,Realengo,5.1,Bangu,5,414,141,IBGE - Censo Demográfico 2010,N,15721.2696804,15721.2653678163,869.073500820559
72,1065,Travessa do Jagunço,1,2074,Araguatins,2009/05/13 03:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,85,26,IPP com base em IBGE - Censo Demográfico 2010,N,2075.27810333,2075.27844944052,439.137791624588
73,1064,Deus é Vida,1,2071,Parque Criança Esperança,2009/05/13 03:00:00+00,106,Guadalupe,22,Anchieta,3.6,Pavuna,3,229,76,IBGE - Censo Demográfico 2010,N,6701.42350714,6701.42350723757,744.348041334372
74,1063,Vida Nova,2,0,Isolada,2009/05/13 03:00:00+00,111,Acari,25,Pavuna,3.6,Pavuna,3,793,227,IBGE - Censo Demográfico 2010,N,43676.3917247,43676.3917243893,1151.24009629067
75,1061,Barbante (Av. Sargento de Milícias),2,0,Isolada,2009/05/13 03:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,258,70,IBGE - Censo Demográfico 2010,N,4241.31760619,4241.31760625745,290.438472045001
76,1062,"Rua Embaú, nº 425",1,2079,Parque Unidos,2009/05/13 03:00:00+00,114,Pavuna,25,Pavuna,3.6,Pavuna,3,84,23,IBGE - Censo Demográfico 2010,N,10602.994994,10602.9958411086,450.223338494957
77,1060,Caninaré,1,2061,Bairro Nossa Senhora das Graças,2009/05/13 03:00:00+00,93,Cacuia,20,Ilha do Governador,3.7,Ilha do Governador,3,426,141,IPP com base em IBGE - Censo Demográfico 2010,N,9424.86496297,9424.86496298297,547.363882581902
78,1059,Vila Porta do Céu,1,2122,Vila Porta do Céu,2009/05/13 03:00:00+00,141,Bangu,17,Bangu,5.1,Bangu,5,584,187,IBGE - Censo Demográfico 2010,N,32401.0201729,32401.0202799955,1284.85340451941
79,1058,Estrela do Sul,1,2079,Parque Unidos,2009/05/13 03:00:00+00,159,Parque Colúmbia,25,Pavuna,3.6,Pavuna,3,605,194,IBGE - Censo Demográfico 2010,N,27333.6730619,27333.673061995,957.38777757856
80,1057,Vila Padre Angelo,1,2041,Dois de Maio,2009/03/27 03:00:00+00,61,Engenho Novo,13,Méier,3.2,Méier,3,80,23,IPP com base em IBGE - Censo Demográfico 2010,N,1630.6284953,1630.62849525675,249.70340531737
81,1056,Comunidade da Favelinha,2,0,Isolada,2009/03/27 03:00:00+00,142,Senador Camará,17,Bangu,5.1,Bangu,5,1855,609,IBGE - Censo Demográfico 2010,N,139866.042884,139866.040273527,4088.86188320981
82,1055,"Rua Álvaro Ramos, nº 535",2,0,Isolada,2009/03/27 03:00:00+00,20,Botafogo,4,Botafogo,2.1,Zona Sul,2,66,23,IPP com base em IBGE - Censo Demográfico 2010,N,4018.42855444,4018.42855445631,287.613730928612
83,1054,"Rua Álvaro Ramos, nº 499",2,0,Isolada,2009/03/27 03:00:00+00,20,Botafogo,4,Botafogo,2.1,Zona Sul,2,132,46,IPP com base em IBGE - Censo Demográfico 2010,N,1815.1890998,1815.18909984711,264.247562745632
84,1053,São Diogo,2,0,Isolada,2009/03/27 03:00:00+00,3,Santo Cristo,1,Portuária,1.1,Centro,1,209,64,IBGE - Censo Demográfico 2010,Providência,4765.14515496,4765.14515499913,377.779644715318
85,1052,Vila do Mexicano,2,0,Isolada,2009/03/27 03:00:00+00,4,Caju,1,Portuária,1.1,Centro,1,326,89,IBGE - Censo Demográfico 2010,Caju,9364.95593828,9364.95593826853,491.678931279877
86,1051,Vila da Paz (RA - Méier),2,0,Isolada,2009/03/27 03:00:00+00,57,São Francisco Xavier,13,Méier,3.2,Méier,3,306,88,IPP com base em IBGE - Censo Demográfico 2010,N,5175.62213506,5175.62213509065,372.321260684731
87,1050,Vila Angela,1,2041,Dois de Maio,2009/03/27 03:00:00+00,61,Engenho Novo,13,Méier,3.2,Méier,3,186,53,IPP com base em IBGE - Censo Demográfico 2010,N,3003.14417579,3003.14417575917,577.515448475143
88,1049,Comunidade do Pedrosa,1,2038,Parque União de Del Castilho,2009/03/27 03:00:00+00,53,Del Castilho,12,Inhaúma,3.4,Inhaúma,3,447,140,IBGE - Censo Demográfico 2010,N,13197.1385312,13197.1385312758,523.750715319318
89,1048,"Rua Jaú, nº 25",2,0,Isolada,2009/03/27 03:00:00+00,62,Lins de Vasconscelos,13,Méier,3.2,Méier,3,229,83,IPP com base em IBGE - Censo Demográfico 2010,N,3382.41315158,3382.41315155051,278.799431885998
90,1047,A. M. São Sebastião,1,2090,Barão,2009/03/27 03:00:00+00,124,Praça Seca,16,Jacarepaguá,4.1,Jacarepaguá,4,69,18,IPP com base em IBGE - Censo Demográfico 2010,N,3058.97907794,3058.9790778866,221.10947314736
91,1044,Vila Taboinha,2,0,Isolada,2009/03/24 03:00:00+00,131,Vargem Grande,24,Barra da Tijuca,4.2,Barra da Tijuca,4,476,158,IBGE - Censo Demográfico 2010,N,47049.2694094,47049.2692302006,987.448753368473
92,1043,"Estrada de Jacarepaguá, nº 6.590",2,0,Isolada,2009/03/24 03:00:00+00,116,Anil,16,Jacarepaguá,4.1,Jacarepaguá,4,108,35,IPP com base em IBGE - Censo Demográfico 2010,N,2001.96001643,2001.96001651778,200.183204219108
93,1039,"Estrada do Catonho, nº14",2,0,Isolada,2009/03/24 03:00:00+00,137,Jardim Sulacap,33,Realengo,5.1,Bangu,5,31,9,IPP com base em IBGE - Censo Demográfico 2010,N,5543.06098781,5543.06098783164,447.545931819482
94,1038,A.M. Amigos dos Teixeiras,2,0,Isolada,2009/03/24 03:00:00+00,139,Realengo,33,Realengo,5.1,Bangu,5,747,240,IPP com base em IBGE - Censo Demográfico 2010,N,38020.8122534,38020.8122533509,1585.56187043946
95,1036,Vista da Pedra,2,0,Isolada,2009/03/24 03:00:00+00,130,Vargem Pequena,24,Barra da Tijuca,4.2,Barra da Tijuca,4,100,39,IPP com base em IBGE - Censo Demográfico 2010,N,4041.3613599,4041.36135991693,387.843232525029
96,1035,"Rua Paulo Roberto Matheus, Lote 7",2,0,Isolada,2009/03/24 03:00:00+00,130,Vargem Pequena,24,Barra da Tijuca,4.2,Barra da Tijuca,4,75,24,IPP com base em IBGE - Censo Demográfico 2010,N,8009.83855399,8009.83855394665,608.587930884096
97,1034,Da Curva,2,0,Isolada,2009/03/24 03:00:00+00,131,Vargem Grande,24,Barra da Tijuca,4.2,Barra da Tijuca,4,83,23,IPP com base em IBGE - Censo Demográfico 2010,N,12788.2910893,12788.2910892197,879.951088227606
98,1033,"Estrada do Tingui, nº 2.370",2,0,Isolada,2009/03/24 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,154,50,IPP com base em IBGE - Censo Demográfico 2010,N,3009.59710751,3009.59710759993,238.930034220423
99,1032,Travessa Dois Irmãos,2,0,Isolada,2009/03/23 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,128,42,IPP com base em IBGE - Censo Demográfico 2010,N,7234.38713025,7234.38713022352,519.400456822245
100,1031,Rua do Sol,1,2125,Jardim Monteiro,2009/03/23 03:00:00+00,144,Campo Grande,18,Campo Grande,5.2,Campo Grande,5,72,22,IPP com base em IBGE - Censo Demográfico 2010,N,5302.31973274,5302.31973276486,355.216258969316
101,1030,Travessa Poeraba,2,0,Isolada,2009/03/23 03:00:00+00,146,Inhoaíba,18,Campo Grande,5.2,Campo Grande,5,92,24,IPP com base em IBGE - Censo Demográfico 2010,N,10104.516662,10104.5166618643,479.691011327766
102,1029,"Rua Poerada, Lotes 39 e 40",2,0,Isolada,2009/03/23 03:00:00+00,146,Inhoaíba,18,Campo Grande,5.2,Campo Grande,5,154,56,IBGE - Censo Demográfico 2010,N,4255.75291947,4255.75291947499,310.571691823138
103,1028,Flama,1,2135,Linha de Austin,2009/03/16 03:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,476,139,IBGE - Censo Demográfico 2010,N,41963.7991874,41963.7978156534,2051.41180428804
104,1027,Jardim Gramado,1,2135,Linha de Austin,2009/03/16 03:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,1024,302,IBGE - Censo Demográfico 2010,N,87852.6282666,87852.6274730856,2003.35555630385
105,1026,A. M. Mário Larrubia,2,0,Isolada,2009/03/16 03:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,519,168,IBGE - Censo Demográfico 2010,N,29291.6948713,29291.6977311297,1539.86282036727
106,1025,Manguariba III,2,0,Isolada,2009/03/16 03:00:00+00,148,Paciência,19,Santa Cruz,5.3,Santa Cruz,5,501,158,IBGE - Censo Demográfico 2010,N,44617.7939779,44617.7938121214,1353.48286045187
107,1024,Renascer,1,2138,Saquaçu,2009/03/16 03:00:00+00,149,Santa Cruz,19,Santa Cruz,5.3,Santa Cruz,5,570,146,IBGE - Censo Demográfico 2010,N,84631.4897813,84631.4875163371,3376.18417057488
108,1022,Rua Vídeo,1,2137,Pantanal (RA - Santa Cruz),2009/03/16 03:00:00+00,149,Santa Cruz,19,Santa Cruz,5.3,Santa Cruz,5,230,79,IBGE - Censo Demográfico 2010,N,21924.0364758,21924.0364757278,1231.45412886254
109,1021,Mario Loroza,2,0,Isolada,2009/03/16 03:00:00+00,149,Santa Cruz,19,Santa Cruz,5.3,Santa Cruz,5,426,131,IBGE - Censo Demográfico 2010,N,43994.3968655,43994.3968655774,1533.07308704348
110,1020,Avenida 5 - Tijolinho,2,0,Isolada,2009/03/16 03:00:00+00,150,Sepetiba,19,Santa Cruz,5.3,Santa Cruz,5,86,31,IPP com base em IBGE - Censo Demográfico 2010,N,5063.29991217,5063.30079332516,685.022748291207
111,1018,Caminho do Outeiro,2,0,Isolada,2009/01/15 03:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,87,21,IPP com base em IBGE - Censo Demográfico 2010,N,2503.54343578,2503.54343574616,238.212700721398
